Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
SVK,4.420000000000001,10,2.563302219954579,0.8148800847655373,0.2240000000000002,0.5760000000000005,3.373846153846154,3.25,0,0,47.9,1,38.4495332993187,12.223201271483047,5.6,0.288,58.07,3.3,0,0
SVN,0.5599999999999987,10,0,5.609458948244754,1.1214399999999998,0,3.7661538461538457,1.75,0,0,67.2,0.929163375832703,-64.1025641025641,84.14188422367131,28.036,0,55.52,2.7,0,0
SWE,0,8.972032584053109,0,0.5927659044167761,1.2346000000000004,0.25399999999999956,5.176923076923076,0.5,0,0,72.1,0.793490406149168,-57.859531772575245,8.891488566251626,30.865,0.127,46.35,2.2,0,0
SWZ,7.779999999999999,3.507248424848508,10,10,6.142,8.374,2.1307692307692294,8.25,0,0,31.1,0.4276242881253,592.3076923076924,212.3826917210573,153.55,4.187,66.15,5.3,0,0
SYC,7.620000000000001,10,0,0,10,10,2.0507692307692302,5,0,0,31.9,1,-13.846012639044886,-54.91463682579898,778.64,13.074,66.67,4,0,0
SYR,10,6.031272329285349,0,0,0.014039999999999608,0.06600000000000072,6.835384615384616,6.75,0,0,19.9,0.596607142857144,-70.08547008547009,-77.80878427566125,0.351,0.033,35.57,4.7,0,0
TCD,8.24,0.8304423245814938,6.666666666674814e-4,6.666666666674814e-4,0.0034799999999997056,0,6.089230769230769,10,0,0,28.8,0.248412698412698,0.01,0.01,0.087,0,40.42,7.2,0,0
TGO,7.5,6.2909670981753685,3.3727484636575547,3.8417094945071986,0.2926800000000007,0.20800000000000018,4.038461538461538,9.75,10,0,32.5,0.613993651490767,50.59122695486332,57.62564241760798,7.317,0.104,53.75,5.9,10,0
THA,0,3.9355759213498773,5.3302695407958565,5.800265590928923,6.25852,2.767999999999999,3.4292307692307684,4.5,0,0,73.2,0.456300721415695,79.95404311193785,87.00398386393385,156.463,1.384,57.71,3.8,0,0
TJK,7.540000000000001,6.455364171369279,10,4.708979439758832,0.1995199999999997,0.17999999999999972,7.5,5.75,0,0,32.3,0.625,176.92307692307696,70.63469159638248,4.988,0.09,31.25,4.3,0,0
