"","Index","Record_ID","Prior Record_ID","Countryname","Country","Outlook","Date","Prior Date","Count","Prior Count","Flag Change"
"186",3194,111874,72354,"Georgia","GEO","Emerging",2021-07-22,2021-07-21,3,3,0
"187",3225,111905,72385,"Ghana","GHA","Overall",2021-07-22,2021-07-21,3,3,0
"188",3232,111912,72392,"Ghana","GHA","Underlying",2021-07-22,2021-07-21,1,1,0
"189",3246,111926,72406,"Ghana","GHA","Emerging",2021-07-22,2021-07-21,3.5,3.5,0
"190",3277,111957,72437,"Guinea","GIN","Overall",2021-07-22,2021-07-21,3.5,3.5,0
"191",3284,111964,72444,"Guinea","GIN","Underlying",2021-07-22,2021-07-21,2.5,2.5,0
"192",3298,111978,72458,"Guinea","GIN","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"193",3329,112009,72489,"Gambia","GMB","Overall",2021-07-22,2021-07-21,3.5,3.5,0
"194",3336,112016,72496,"Gambia","GMB","Underlying",2021-07-22,2021-07-21,2,2,0
"195",3350,112030,72510,"Gambia","GMB","Emerging",2021-07-22,2021-07-21,2.5,2.5,0
"196",3381,112061,72541,"Guinea-Bissau","GNB","Overall",2021-07-22,2021-07-21,2,2,0
"197",3388,112068,72548,"Guinea-Bissau","GNB","Underlying",2021-07-22,2021-07-21,3,3,0
"198",3402,112082,72562,"Guinea-Bissau","GNB","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"199",3433,112113,72593,"Equatorial Guinea","GNQ","Overall",2021-07-22,2021-07-21,1.5,1.5,0
"200",3440,112120,72600,"Equatorial Guinea","GNQ","Underlying",2021-07-22,2021-07-21,1.5,1.5,0
"201",3454,112134,72614,"Equatorial Guinea","GNQ","Emerging",2021-07-22,2021-07-21,0,0,0
"202",3485,112165,72645,"Greece","GRC","Overall",2021-07-22,2021-07-21,1,1,0
"203",3492,112172,72652,"Greece","GRC","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"204",3506,112186,72666,"Greece","GRC","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"205",3537,112217,72697,"Grenada","GRD","Overall",2021-07-22,2021-07-21,0,0,0
"206",3544,112224,72704,"Grenada","GRD","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"207",3558,112238,72718,"Grenada","GRD","Emerging",2021-07-22,2021-07-21,0,0,0
"208",3589,112269,72749,"Guatemala","GTM","Overall",2021-07-22,2021-07-21,3,3,0
"209",3596,112276,72756,"Guatemala","GTM","Underlying",2021-07-22,2021-07-21,1.5,1.5,0
"210",3610,112290,72770,"Guatemala","GTM","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"211",3641,112321,72801,"Guyana","GUY","Overall",2021-07-22,2021-07-21,1,1,0
"212",3648,112328,72808,"Guyana","GUY","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"213",3662,112342,72822,"Guyana","GUY","Emerging",2021-07-22,2021-07-21,0.5,0.5,0
"214",3693,112373,72853,"Honduras","HND","Overall",2021-07-22,2021-07-21,2.5,2.5,0
"215",3700,112380,72860,"Honduras","HND","Underlying",2021-07-22,2021-07-21,1.5,1.5,0
"216",3714,112394,72874,"Honduras","HND","Emerging",2021-07-22,2021-07-21,2,2,0
"217",3745,112425,72905,"Croatia","HRV","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"218",3752,112432,72912,"Croatia","HRV","Underlying",2021-07-22,2021-07-21,0,0,0
"219",3766,112446,72926,"Croatia","HRV","Emerging",2021-07-22,2021-07-21,2,2,0
"220",3797,112477,72957,"Haiti","HTI","Overall",2021-07-22,2021-07-21,4,4,0
"221",3804,112484,72964,"Haiti","HTI","Underlying",2021-07-22,2021-07-21,5,5,0
"222",3818,112498,72978,"Haiti","HTI","Emerging",2021-07-22,2021-07-21,3,3,0
"223",3849,112529,73009,"Hungary","HUN","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"224",3856,112536,73016,"Hungary","HUN","Underlying",2021-07-22,2021-07-21,0,0,0
"225",3870,112550,73030,"Hungary","HUN","Emerging",2021-07-22,2021-07-21,1,1,0
"226",3901,112581,73061,"Indonesia","IDN","Overall",2021-07-22,2021-07-21,2.5,2.5,0
"227",3908,112588,73068,"Indonesia","IDN","Underlying",2021-07-22,2021-07-21,1,1,0
"228",3922,112602,73082,"Indonesia","IDN","Emerging",2021-07-22,2021-07-21,1,2,-1
"229",3953,112633,73113,"India","IND","Overall",2021-07-22,2021-07-21,1.5,1.5,0
"230",3960,112640,73120,"India","IND","Underlying",2021-07-22,2021-07-21,1.5,1.5,0
"231",3974,112654,73134,"India","IND","Emerging",2021-07-22,2021-07-21,0.5,0.5,0
"232",4005,112685,73165,"Ireland","IRL","Overall",2021-07-22,2021-07-21,0,0,0
"233",4012,112692,73172,"Ireland","IRL","Underlying",2021-07-22,2021-07-21,0,0,0
"234",4026,112706,73186,"Ireland","IRL","Emerging",2021-07-22,2021-07-21,2,2,0
